w,v
10.0,175.628092
20.0,6.1889220300000005
30.0,186.288793
40.0,180.85583
50.0,176.678208
60.0,179.397617
70.0,188.07126499999998
80.0,185.488338
90.0,193.160831
100.0,191.26452999999998
110.0,190.361943
120.0,188.617247
130.0,196.893152
140.0,190.938185
150.0,190.387902
160.0,199.534391
170.0,189.43129
180.0,192.206918
190.0,202.585757
200.0,193.656768
210.0,199.118462
220.0,194.86880100000002
230.0,200.15975699999998
240.0,196.832905
250.0,197.322685
260.0,198.09842
270.0,198.14810899999998
280.0,205.37075299999998
290.0,201.299666
300.0,206.446621
310.0,190.476139
320.0,198.38477400000002
330.0,203.778261
340.0,199.881853
350.0,194.108159
