w,v
10.0,115.15075800000001
20.0,134.16325700000002
30.0,229.636969
40.0,231.761763
50.0,244.123701
60.0,265.134975
70.0,257.30883900000003
80.0,260.440586
90.0,262.39557
100.0,284.565741
110.0,224.495775
120.0,288.422563
130.0,301.531495
140.0,306.339858
150.0,298.75618799999995
160.0,287.41614
170.0,298.410715
180.0,302.22234
190.0,307.74003300000004
200.0,299.464772
210.0,290.113748
220.0,292.61227
230.0,305.44119400000005
240.0,310.142233
250.0,305.540167
260.0,296.202383
270.0,299.110616
280.0,299.716035
290.0,292.670579
300.0,289.82058
310.0,280.417893
320.0,283.390797
330.0,295.810829
340.0,4.12219665
350.0,270.564241
